Date,INR vs USD
1/2/1973,8.02
1/3/1973,8.02
1/4/1973,8
1/5/1973,8.01
1/8/1973,8
1/9/1973,8
1/10/1973,8
1/11/1973,8
1/12/1973,8
1/15/1973,8
1/16/1973,8.01
1/17/1973,8.01
1/18/1973,8.01
1/19/1973,8
1/22/1973,8
1/23/1973,8
1/24/1973,8
1/25/1973,8
1/26/1973,8
1/29/1973,8.01
1/30/1973,8
1/31/1973,8
2/1/1973,8
2/2/1973,8
2/5/1973,7.97
2/6/1973,8
2/7/1973,8
2/8/1973,8.01
2/9/1973,8.01
2/15/1973,7.58
2/16/1973,7.58
2/20/1973,7.58
2/21/1973,7.58
2/22/1973,7.58
2/23/1973,7.58
2/26/1973,7.55
2/27/1973,7.52
2/28/1973,7.52
3/1/1973,7.55
3/6/1973,7.35
3/7/1973,7.19
3/8/1973,7.25
3/9/1973,7.55
3/12/1973,7.52
3/13/1973,7.52
3/14/1973,7.94
3/15/1973,7.52
3/16/1973,7.81
3/19/1973,7.6
3/20/1973,7.58
3/21/1973,7.58
3/22/1973,7.58
3/23/1973,7.58
3/26/1973,7.58
3/27/1973,7.55
3/28/1973,7.55
3/29/1973,7.58
3/30/1973,7.55
4/2/1973,7.58
4/3/1973,7.55
4/4/1973,7.55
4/5/1973,7.55
4/6/1973,7.55
4/9/1973,7.55
4/10/1973,7.55
4/11/1973,7.52
4/12/1973,7.5
4/13/1973,7.52
4/16/1973,7.52
4/17/1973,7.55
4/18/1973,7.55
4/19/1973,7.55
4/20/1973,7.55
4/23/1973,7.55
4/24/1973,7.56
4/25/1973,7.55
4/26/1973,7.56
4/27/1973,7.58
4/30/1973,7.53
5/1/1973,7.54
5/2/1973,7.52
5/3/1973,7.55
5/4/1973,7.55
5/7/1973,7.55
5/8/1973,7.55
5/9/1973,7.52
5/10/1973,7.52
5/11/1973,7.52
5/14/1973,7.46
5/15/1973,7.46
5/16/1973,7.49
5/17/1973,7.52
5/18/1973,7.52
5/21/1973,7.52
5/22/1973,7.52
5/23/1973,7.52
5/24/1973,7.46
5/25/1973,7.41
5/29/1973,7.4
5/30/1973,7.35
5/31/1973,7.39
6/1/1973,7.25
6/4/1973,7.22
6/5/1973,7.22
6/6/1973,7.27
6/7/1973,7.25
6/8/1973,7.3
6/11/1973,7.3
6/12/1973,7.33
6/13/1973,7.33
6/14/1973,7.26
6/15/1973,7.3
6/18/1973,7.25
6/19/1973,7.25
6/20/1973,7.25
6/21/1973,7.25
6/22/1973,7.3
6/25/1973,7.27
6/26/1973,7.27
6/27/1973,7.27
6/28/1973,7.27
6/29/1973,7.3
7/2/1973,7.3
7/3/1973,7.27
7/5/1973,7.27
7/6/1973,7.3
7/9/1973,7.3
7/10/1973,7.3
7/11/1973,7.3
7/12/1973,7.25
7/13/1973,7.3
7/16/1973,7.3
7/17/1973,7.27
7/18/1973,7.27
7/19/1973,7.27
7/20/1973,7.41
7/23/1973,7.41
7/24/1973,7.46
7/25/1973,7.46
7/26/1973,7.46
7/27/1973,7.49
7/30/1973,7.49
7/31/1973,7.49
8/1/1973,7.49
8/2/1973,7.49
8/3/1973,7.49
8/6/1973,7.52
8/7/1973,7.52
8/8/1973,7.46
8/9/1973,7.49
8/10/1973,7.49
8/13/1973,7.62
8/14/1973,7.58
8/15/1973,7.6
8/16/1973,7.58
8/17/1973,7.66
8/20/1973,7.66
8/21/1973,7.66
8/22/1973,7.6
8/23/1973,7.6
8/24/1973,7.6
8/27/1973,7.58
8/28/1973,7.58
8/29/1973,7.55
8/30/1973,7.58
8/31/1973,7.58
9/4/1973,7.58
9/5/1973,7.55
9/6/1973,7.58
9/7/1973,7.58
9/10/1973,7.6
9/11/1973,7.6
9/12/1973,7.75
9/13/1973,7.78
9/14/1973,7.78
9/17/1973,7.75
9/18/1973,7.78
9/19/1973,7.75
9/20/1973,7.75
9/21/1973,7.75
9/24/1973,7.72
9/25/1973,7.75
9/26/1973,7.75
9/27/1973,7.75
9/28/1973,7.75
10/1/1973,7.72
10/2/1973,7.78
10/3/1973,7.78
10/4/1973,7.78
10/5/1973,7.78
10/9/1973,7.78
10/10/1973,7.75
10/11/1973,7.75
10/12/1973,7.75
10/15/1973,7.78
10/16/1973,7.72
10/17/1973,7.69
10/18/1973,7.69
10/19/1973,7.69
10/23/1973,7.69
10/24/1973,7.69
10/25/1973,7.69
10/26/1973,7.69
10/29/1973,7.69
10/30/1973,7.69
10/31/1973,7.69
11/1/1973,7.68
11/2/1973,7.68
11/5/1973,7.7
11/7/1973,7.76
11/8/1973,7.76
11/9/1973,7.78
11/12/1973,7.69
11/13/1973,7.69
11/14/1973,7.69
11/15/1973,7.69
11/16/1973,7.86
11/19/1973,7.86
11/20/1973,7.83
11/21/1973,7.83
11/23/1973,8
11/26/1973,8
11/27/1973,8
11/28/1973,8.06
11/29/1973,8.06
11/30/1973,8.06
12/3/1973,8.03
12/4/1973,8.03
12/5/1973,8.03
12/6/1973,8.06
12/7/1973,8.06
12/10/1973,8.06
12/11/1973,8.06
12/12/1973,8.13
12/13/1973,8.13
12/14/1973,8.13
12/17/1973,8.2
12/18/1973,8.2
12/19/1973,8.12
12/20/1973,8.12
12/21/1973,8.12
12/24/1973,8.12
12/26/1973,8.12
12/27/1973,8.16
12/28/1973,8.16
12/31/1973,8.16
1/2/1974,8.16
1/3/1974,8.21
1/4/1974,8.21
1/7/1974,8.21
1/8/1974,8.4
1/9/1974,8.4
1/10/1974,8.4
1/11/1974,8.4
1/14/1974,8.36
1/15/1974,8.36
1/16/1974,8.36
1/17/1974,8.36
1/18/1974,8.58
1/21/1974,8.58
1/22/1974,8.58
1/23/1974,8.62
1/24/1974,8.62
1/25/1974,8.62
1/28/1974,8.55
1/29/1974,8.55
1/30/1974,8.55
1/31/1974,8.55
2/1/1974,8.23
2/4/1974,8.23
2/5/1974,8.23
2/6/1974,8.23
2/7/1974,8.23
2/8/1974,8.37
2/11/1974,8.37
2/13/1974,8.33
2/14/1974,8.33
2/15/1974,8.23
2/19/1974,8.23
2/20/1974,8.23
2/21/1974,8.2
2/22/1974,8.2
2/25/1974,8.2
2/26/1974,8.2
2/27/1974,8.2
2/28/1974,8.16
3/1/1974,8.2
3/4/1974,8.2
3/5/1974,8.2
3/6/1974,8.2
3/7/1974,8.08
3/8/1974,8.1
3/11/1974,8.1
3/12/1974,8.1
3/13/1974,8.1
3/14/1974,8.1
3/15/1974,8.03
3/18/1974,8.03
3/19/1974,8.03
3/20/1974,8.03
3/21/1974,8.03
3/22/1974,7.97
3/25/1974,7.97
3/26/1974,7.97
3/27/1974,7.97
3/28/1974,7.97
3/29/1974,7.81
4/1/1974,7.81
4/2/1974,7.81
4/3/1974,7.81
4/4/1974,7.81
4/5/1974,7.84
4/8/1974,7.84
4/9/1974,7.84
4/10/1974,7.81
4/11/1974,7.81
4/12/1974,7.97
4/15/1974,7.97
4/16/1974,8
4/17/1974,7.97
4/18/1974,7.97
4/19/1974,7.87
4/22/1974,7.87
4/23/1974,7.87
4/24/1974,7.87
4/25/1974,7.87
4/26/1974,7.81
4/29/1974,7.81
4/30/1974,7.81
5/1/1974,7.81
5/2/1974,7.81
5/3/1974,7.75
5/6/1974,7.75
5/7/1974,7.87
5/8/1974,7.75
5/9/1974,7.75
5/10/1974,7.72
5/13/1974,7.72
5/14/1974,7.72
5/15/1974,7.72
5/16/1974,7.72
5/17/1974,7.81
5/20/1974,7.81
5/21/1974,7.84
5/22/1974,7.81
5/23/1974,7.81
5/24/1974,7.81
5/28/1974,7.81
5/29/1974,7.81
5/30/1974,7.81
5/31/1974,7.87
6/3/1974,7.87
6/4/1974,7.87
6/5/1974,7.87
6/6/1974,7.87
6/7/1974,7.81
6/10/1974,7.81
6/11/1974,7.81
6/12/1974,7.81
6/13/1974,7.81
6/14/1974,7.87
6/17/1974,7.87
6/18/1974,7.87
6/19/1974,7.87
6/20/1974,7.87
6/21/1974,7.87
6/24/1974,7.87
6/25/1974,7.87
6/26/1974,7.81
6/27/1974,7.81
6/28/1974,7.87
7/1/1974,7.81
7/2/1974,7.81
7/3/1974,7.81
7/5/1974,7.87
7/8/1974,7.81
7/9/1974,7.81
7/10/1974,7.81
7/11/1974,7.81
7/12/1974,7.87
7/15/1974,7.81
7/16/1974,7.81
7/17/1974,7.81
7/18/1974,7.81
7/19/1974,7.87
7/22/1974,7.81
7/23/1974,7.87
7/24/1974,7.84
7/25/1974,7.84
7/26/1974,7.87
7/29/1974,7.87
7/30/1974,7.87
7/31/1974,7.87
8/1/1974,7.81
8/2/1974,7.81
8/5/1974,7.87
8/6/1974,7.87
8/7/1974,7.87
8/8/1974,7.87
8/9/1974,7.94
8/12/1974,7.94
8/13/1974,7.94
8/14/1974,7.94
8/15/1974,7.94
8/16/1974,8.06
8/19/1974,8.06
8/20/1974,8.06
8/21/1974,8.06
8/22/1974,8.06
8/23/1974,8.06
8/26/1974,8.06
8/27/1974,8.1
8/28/1974,8.1
8/29/1974,8.1
8/30/1974,8.13
9/3/1974,8.13
9/4/1974,8.13
9/5/1974,8.13
9/6/1974,8.13
9/9/1974,8.13
9/10/1974,8.13
9/11/1974,8.13
9/12/1974,8.13
9/13/1974,8.12
9/16/1974,8.12
9/17/1974,8.12
9/18/1974,8.12
9/19/1974,8.12
9/20/1974,8.12
9/23/1974,8.12
9/24/1974,8.12
9/25/1974,8.12
9/26/1974,8.12
9/27/1974,8.12
9/30/1974,8.06
10/1/1974,8.06
10/2/1974,8.03
10/3/1974,8.03
10/4/1974,8.03
10/7/1974,8.06
10/8/1974,8.06
10/9/1974,8.06
10/10/1974,8.06
10/11/1974,8.03
10/15/1974,8.03
10/16/1974,8.03
10/17/1974,8.03
10/18/1974,8.06
10/21/1974,8.06
10/22/1974,8.06
10/23/1974,8.06
10/24/1974,8.06
10/25/1974,8.06
10/28/1974,8.06
10/29/1974,8.06
10/30/1974,8.06
10/31/1974,8.06
11/1/1974,8.06
11/4/1974,8.06
11/6/1974,8.06
11/7/1974,8.06
11/8/1974,8.03
11/12/1974,8.03
11/13/1974,8.03
11/14/1974,8.03
11/15/1974,8.1
11/18/1974,8.1
11/19/1974,8.1
11/20/1974,8.1
11/21/1974,8.1
11/22/1974,8.06
11/25/1974,8.06
11/26/1974,8.06
11/27/1974,8.06
11/29/1974,8.06
12/2/1974,8.06
12/3/1974,8.06
12/4/1974,8.06
12/5/1974,8.06
